Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
115,Pat Connaughton\connapa01,SG,28,MIL,69,1575,11.3,0.578,0.703,0.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,,1.8,1.7,3.5,0.108,,-0.5,0.5,0.0,0.8
116,Daniel Gafford\gaffoda01,PF-C,22,TOT,54,791,22.2,0.697,0.000,0.480,12.9,18.6,15.8,5.3,1.5,8.1,13.1,16.7,,2.1,1.3,3.5,0.209,,0.6,1.6,2.2,0.8
117,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,35,1180,21.6,0.623,0.301,0.405,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,,2.7,0.8,3.5,0.143,,3.9,0.2,4.1,1.8
118,Tyrese Haliburton\halibty01,PG,20,SAC,58,1746,16.2,0.585,0.478,0.090,2.4,8.6,5.5,24.6,2.1,1.4,12.5,18.1,,2.8,0.7,3.5,0.096,,1.9,-0.5,1.4,1.5
119,Jaxson Hayes\hayesja02,C,20,NOP,60,964,19.1,0.675,0.050,0.429,10.4,18.6,14.5,5.2,1.2,3.7,10.5,16.2,,2.6,1.0,3.5,0.176,,0.6,0.0,0.6,0.6
120,Gordon Hayward\haywago01,SF,30,CHO,44,1496,17.6,0.584,0.312,0.281,2.6,16.3,9.3,19.5,1.7,0.9,11.0,23.9,,2.2,1.4,3.5,0.114,,1.6,-0.1,1.6,1.4
121,Collin Sexton\sextoco01,SG,22,CLE,60,2115,18.0,0.573,0.239,0.347,3.0,7.0,4.9,22.6,1.4,0.4,11.6,29.7,,2.6,0.9,3.5,0.080,,1.8,-1.9,-0.2,1.0
122,Wendell Carter Jr.\cartewe01,C,21,TOT,54,1375,16.7,0.566,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,,1.7,1.7,3.4,0.118,,-1.1,-0.2,-1.3,0.2
123,Devonte' Graham\grahade01,PG,25,CHO,55,1659,14.6,0.552,0.713,0.236,1.4,8.4,4.8,26.3,1.4,0.4,10.2,21.4,,2.5,0.9,3.4,0.099,,1.8,-1.1,0.7,1.1
124,Kevon Looney\looneke01,C,24,GSW,61,1161,11.9,0.575,0.086,0.244,10.9,18.6,14.8,13.4,0.8,1.7,14.5,9.4,,2.0,1.4,3.4,0.139,,-1.8,1.0,-0.9,0.3
125,Mitchell Robinson\robinmi01,C,22,NYK,31,853,17.7,0.642,0.000,0.301,14.5,17.5,16.0,2.9,2.1,5.0,11.5,11.8,,1.8,1.7,3.4,0.192,,-0.3,1.5,1.2,0.7
126,Saddiq Bey\beysa01,SF,21,DET,70,1909,12.6,0.567,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,,1.6,1.7,3.3,0.082,,0.3,-0.8,-0.5,0.7
127,Alec Burks\burksal01,SG,29,NYK,49,1255,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,,1.5,1.8,3.3,0.126,,0.9,0.6,1.5,1.1
128,Jae Crowder\crowdja01,PF,30,PHO,60,1648,11.8,0.574,0.772,0.152,2.2,16.9,9.7,10.0,1.4,1.5,9.5,15.7,,1.4,1.9,3.3,0.097,,0.3,0.8,1.1,1.3
129,Keldon Johnson\johnske04,SF,21,SAS,69,1968,13.8,0.557,0.257,0.278,4.9,17.6,11.1,8.9,1.0,1.0,9.0,19.2,,1.6,1.7,3.3,0.079,,-0.9,-0.7,-1.6,0.2
130,Kyle Kuzma\kuzmaky01,SF,25,LAL,68,1954,12.7,0.546,0.502,0.128,6.3,17.7,12.0,9.8,0.9,1.9,12.4,20.3,,0.4,2.9,3.3,0.080,,-0.4,-0.1,-0.4,0.8
131,Dejounte Murray\murrade01,PG,24,SAS,67,2139,16.5,0.509,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,,0.7,2.6,3.3,0.074,,-0.2,1.0,0.8,1.5
132,Marcus Smart\smartma01,PG,26,BOS,48,1581,13.8,0.539,0.553,0.318,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,,1.8,1.5,3.3,0.100,,-0.4,0.2,-0.3,0.7
133,Myles Turner\turnemy01,C,24,IND,47,1455,15.3,0.599,0.477,0.329,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,,1.1,2.2,3.3,0.110,,-1.6,2.0,0.4,0.9
134,Kemba Walker\walkeke02,PG,30,BOS,43,1369,17.7,0.559,0.522,0.220,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,,2.1,1.1,3.3,0.115,,2.8,-0.7,2.1,1.4
135,Cody Zeller\zelleco01,C,28,CHO,48,1005,18.2,0.599,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,,2.1,1.1,3.3,0.156,,-0.2,-0.2,-0.5,0.4
136,Lonzo Ball\balllo01,PG,23,NOP,55,1747,15.2,0.551,0.650,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,,1.5,1.7,3.2,0.089,,1.4,0.3,1.7,1.6
137,Jerami Grant\grantje01,SF,26,DET,54,1829,16.9,0.556,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,,1.6,1.6,3.2,0.083,,1.9,-0.8,1.1,1.4
138,Paul Millsap\millspa01,PF,35,DEN,56,1162,16.4,0.565,0.357,0.244,7.4,18.1,12.8,11.6,2.2,3.0,10.3,18.6,,1.7,1.6,3.2,0.133,,0.3,0.7,1.0,0.9
139,Ja Morant\moranja01,PG,21,MEM,63,2053,16.7,0.537,0.252,0.389,3.0,10.1,6.5,33.5,1.3,0.6,15.3,27.2,,1.6,1.6,3.2,0.074,,1.3,-1.6,-0.4,0.8
140,Immanuel Quickley\quickim01,PG,21,NYK,64,1243,15.8,0.557,0.522,0.300,2.2,9.7,6.0,16.2,1.2,0.9,8.1,25.6,,1.8,1.4,3.2,0.125,,1.4,-0.5,0.9,0.9
141,Naz Reid\reidna01,C,21,MIN,70,1347,18.2,0.599,0.299,0.286,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,,1.9,1.3,3.2,0.113,,-0.1,-0.2,-0.2,0.6
142,OG Anunoby\anunoog01,SF,23,TOR,43,1433,15.4,0.605,0.503,0.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,,1.5,1.6,3.1,0.104,,0.8,0.4,1.2,1.2
143,Dāvis Bertāns\bertada01,PF,28,WAS,57,1464,11.4,0.620,0.895,0.241,1.3,10.8,6.1,4.4,1.0,0.7,5.9,15.9,,2.1,1.0,3.1,0.101,,0.3,-1.1,-0.8,0.4
144,Facundo Campazzo\campafa01,PG,29,DEN,65,1425,11.6,0.558,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,,1.6,1.5,3.1,0.105,,-1.7,1.2,-0.6,0.5
145,Justin Holiday\holidju01,SG,31,IND,72,2183,10.4,0.571,0.725,0.136,1.6,11.1,6.4,7.0,1.6,1.5,7.5,14.0,,1.4,1.8,3.1,0.069,,-0.9,-0.1,-1.0,0.6
146,Derrick Rose\rosede01,PG,32,TOT,50,1279,18.3,0.550,0.211,0.208,1.7,9.3,5.5,28.0,1.9,1.4,10.5,25.8,,1.6,1.6,3.1,0.118,,1.6,0.3,1.9,1.3
147,Ricky Rubio\rubiori01,PG,30,MIN,68,1772,13.5,0.516,0.430,0.301,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16.0,,1.9,1.3,3.1,0.085,,-1.9,0.0,-1.9,0.0
148,Tomáš Satoranský\satorto01,SG,29,CHI,58,1307,13.8,0.614,0.359,0.240,2.6,9.4,6.0,27.9,1.5,0.9,20.9,15.2,,1.9,1.1,3.1,0.113,,-0.6,0.1,-0.5,0.5
149,Jarred Vanderbilt\vandeja01,PF,21,MIN,64,1139,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,,1.6,1.5,3.1,0.132,,-1.4,1.4,-0.1,0.5
150,Serge Ibaka\ibakase01,C,31,LAC,41,955,18.2,0.585,0.315,0.145,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,,1.7,1.3,3.0,0.150,,1.2,0.2,1.4,0.8
151,Lauri Markkanen\markkla01,PF,23,CHI,51,1317,15.2,0.619,0.568,0.177,3.0,19.4,11.3,5.0,1.0,1.0,8.5,20.2,,1.7,1.3,3.0,0.109,,1.0,-0.9,0.1,0.7
152,Juan Toscano-Anderson\toscaju01,SG,27,GSW,53,1107,12.6,0.676,0.440,0.148,2.8,19.5,11.3,18.1,1.7,2.1,21.5,11.0,,1.4,1.6,3.0,0.130,,-1.4,2.2,0.8,0.8
153,Desmond Bane\banede01,SG,22,MEM,68,1519,12.2,0.600,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,,1.6,1.3,2.9,0.093,,-0.6,-0.2,-0.8,0.5
154,Willy Hernangómez\hernawi01,C,26,NOP,47,846,19.6,0.591,0.037,0.347,15.0,27.8,21.4,8.5,1.2,2.6,9.9,17.0,,1.9,1.0,2.9,0.163,,1.0,-1.0,0.0,0.4
155,Maxi Kleber\klebima01,PF,29,DAL,50,1341,10.6,0.606,0.771,0.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,,1.6,1.3,2.9,0.103,,-0.5,0.5,0.0,0.7
156,Monte Morris\morrimo01,PG,25,DEN,47,1196,14.0,0.574,0.346,0.189,1.0,8.0,4.6,17.1,1.4,1.1,7.5,16.5,,2.0,0.8,2.9,0.115,,0.1,-0.5,-0.3,0.5
157,Kendrick Nunn\nunnke01,PG,25,MIA,56,1650,14.2,0.596,0.486,0.091,1.5,10.8,6.2,14.5,1.6,0.9,10.5,20.9,,1.4,1.5,2.9,0.084,,-0.1,-0.4,-0.5,0.6
158,Tristan Thompson\thomptr01,PF,29,BOS,54,1287,14.2,0.540,0.009,0.368,14.5,23.5,19.0,7.2,0.9,2.4,14.1,14.8,,1.5,1.4,2.9,0.107,,-1.5,-1.0,-2.5,-0.2
159,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,59,1085,14.7,0.605,0.217,0.177,7.2,18.0,12.5,9.4,1.9,2.7,12.3,14.3,,1.4,1.5,2.9,0.127,,-1.3,1.1,-0.2,0.5
160,LaMelo Ball\ballla01,PG,19,CHO,51,1469,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,,1.0,1.9,2.8,0.093,,1.1,0.7,1.8,1.4
161,Willie Cauley-Stein\caulewi01,C,27,DAL,53,906,14.3,0.647,0.060,0.429,8.1,20.5,14.3,5.3,1.1,4.4,11.8,12.0,,1.6,1.2,2.8,0.147,,-2.2,0.9,-1.3,0.2
162,Evan Fournier\fournev01,SF-SG,28,TOT,42,1259,16.7,0.598,0.523,0.253,0.8,10.2,5.4,18.6,1.8,1.4,10.8,23.1,,1.8,1.0,2.8,0.107,,1.5,-0.4,1.1,1.0
163,Marc Gasol\gasolma01,C,36,LAL,52,993,12.2,0.606,0.629,0.258,4.3,19.9,12.2,14.7,1.3,5.2,19.7,11.8,,0.8,1.9,2.8,0.133,,-1.4,3.7,2.3,1.1
164,Tyus Jones\jonesty01,PG,24,MEM,70,1222,15.0,0.511,0.339,0.109,1.8,10.4,6.1,28.6,2.5,0.4,10.0,16.6,,1.5,1.3,2.8,0.110,,-0.1,0.9,0.8,0.9
165,Shake Milton\miltosh01,SG,24,PHI,63,1461,14.6,0.549,0.304,0.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,,1.1,1.6,2.8,0.091,,-0.7,-1.0,-1.6,0.1
166,Raul Neto\netora01,PG,28,WAS,64,1403,13.0,0.575,0.367,0.190,2.1,9.6,5.9,14.0,2.4,0.4,9.9,15.8,,1.5,1.3,2.8,0.097,,-1.4,0.9,-0.6,0.5
167,Matisse Thybulle\thybuma01,SG,23,PHI,65,1298,10.1,0.508,0.588,0.074,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,,0.1,2.7,2.8,0.102,,-2.6,4.5,1.9,1.3
168,Kenrich Williams\willike04,PF,26,OKC,66,1426,14.0,0.599,0.285,0.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,,1.6,1.2,2.8,0.096,,-1.2,0.5,-0.7,0.4
169,Christian Wood\woodch01,C,25,HOU,41,1326,20.0,0.591,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,,1.4,1.4,2.8,0.100,,1.7,-0.3,1.4,1.1
170,Grayson Allen\allengr01,SG,25,MEM,50,1259,12.8,0.586,0.662,0.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,,1.5,1.2,2.7,0.101,,-0.2,0.1,-0.2,0.6
171,Tony Bradley\bradlto01,C,23,TOT,42,684,20.7,0.678,0.015,0.279,13.3,24.0,18.6,8.5,1.0,3.9,13.0,15.8,,1.8,1.0,2.7,0.192,,1.2,0.1,1.3,0.6
172,Bryn Forbes\forbebr01,SG,27,MIL,70,1354,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,,2.0,0.7,2.7,0.096,,0.4,-1.7,-1.3,0.2
173,Josh Hart\hartjo01,SF,25,NOP,47,1349,12.2,0.566,0.561,0.259,4.3,26.1,15.2,10.6,1.4,0.8,11.3,13.5,,1.4,1.3,2.7,0.097,,-1.1,0.3,-0.8,0.4
174,Luke Kennard\kennalu01,SG,24,LAC,63,1232,12.7,0.608,0.541,0.075,1.4,13.0,7.3,11.9,0.9,0.7,10.1,17.1,,1.6,1.1,2.7,0.105,,0.3,-0.5,-0.2,0.6
175,Damion Lee\leeda03,SG,28,GSW,57,1079,11.8,0.636,0.708,0.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,,1.4,1.3,2.7,0.119,,-0.7,0.9,0.2,0.6
176,Alex Len\lenal01,C,27,TOT,64,979,16.4,0.643,0.090,0.417,8.5,19.7,14.1,7.0,0.9,5.6,14.3,16.3,,1.5,1.3,2.7,0.133,,-1.2,1.0,-0.1,0.5
177,P.J. Washington\washipj01,PF,22,CHO,64,1954,13.4,0.549,0.423,0.211,5.1,18.3,11.6,12.2,1.7,4.0,14.6,19.4,,0.3,2.4,2.7,0.066,,-1.5,0.6,-0.9,0.6
178,Carmelo Anthony\anthoca01,PF,36,POR,69,1690,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,,1.7,0.8,2.6,0.073,,0.2,-1.3,-1.1,0.4
179,Moses Brown\brownmo01,C,21,OKC,43,920,18.8,0.572,0.000,0.470,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,,1.3,1.3,2.6,0.138,,-1.3,-1.2,-2.4,-0.1
180,JaMychal Green\greenja01,PF,30,DEN,58,1120,13.6,0.590,0.529,0.152,8.6,19.4,14.0,6.4,1.1,1.9,11.7,17.6,,1.4,1.2,2.6,0.110,,-0.5,-1.0,-1.5,0.1
181,Cameron Johnson\johnsca02,PF,24,PHO,60,1437,11.8,0.563,0.694,0.122,2.6,12.9,7.9,8.0,1.3,1.0,7.3,17.0,,1.2,1.4,2.6,0.086,,0.0,-0.2,-0.2,0.7
182,Georges Niang\niangge01,PF,27,UTA,72,1154,11.4,0.602,0.721,0.057,2.7,13.0,8.1,7.3,1.1,0.6,10.9,17.4,,1.2,1.4,2.6,0.108,,-0.4,0.1,-0.3,0.5
183,Payton Pritchard\pritcpa01,SG,23,BOS,66,1268,12.4,0.582,0.593,0.108,2.9,11.1,6.9,13.3,1.4,0.7,10.8,16.7,,1.6,0.9,2.5,0.095,,-0.3,-0.4,-0.7,0.4
184,Patrick Williams\willipa01,PF,19,CHI,71,1983,10.5,0.562,0.261,0.237,3.7,14.4,9.1,6.7,1.6,2.0,14.4,14.9,,0.3,2.2,2.5,0.060,,-2.8,0.4,-2.4,-0.2
185,Alex Caruso\carusal01,PG,26,LAL,58,1216,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,,0.3,2.1,2.4,0.095,,-2.5,2.5,0.0,0.6
186,Derrick Jones Jr.\jonesde02,SF,23,POR,58,1318,11.9,0.576,0.447,0.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,,1.6,0.8,2.4,0.089,,-1.4,0.0,-1.4,0.2
187,Caris LeVert\leverca01,SG,26,TOT,47,1486,17.8,0.531,0.317,0.221,2.5,13.1,7.8,25.4,2.1,1.7,10.2,28.7,,0.9,1.5,2.4,0.077,,0.9,-0.5,0.4,0.9
188,Jusuf Nurkić\nurkiju01,C,26,POR,37,880,20.5,0.554,0.090,0.339,10.2,30.7,20.2,21.4,2.1,4.0,16.0,22.3,,1.2,1.2,2.4,0.133,,0.7,1.8,2.5,1.0
189,Josh Richardson\richajo01,SG,27,DAL,59,1790,11.9,0.537,0.432,0.175,3.2,8.8,6.0,12.1,1.7,1.2,10.6,18.4,,1.0,1.4,2.4,0.066,,-1.5,-0.2,-1.7,0.1
190,Coby White\whiteco01,PG,20,CHI,69,2156,12.0,0.540,0.503,0.157,1.5,13.0,7.3,21.8,0.9,0.6,13.9,22.5,,0.7,1.7,2.4,0.052,,-1.2,-1.2,-2.4,-0.2
191,Bismack Biyombo\biyombi01,C,28,CHO,66,1349,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,,0.9,1.4,2.3,0.081,,-3.4,0.4,-3.0,-0.4
192,Eric Bledsoe\bledser01,SG,31,NOP,71,2111,11.5,0.533,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,,1.1,1.3,2.3,0.053,,-1.2,-0.9,-2.0,0.0
193,Drew Eubanks\eubandr01,C,23,SAS,54,755,17.9,0.618,0.010,0.517,10.2,24.0,17.0,7.9,1.2,5.5,15.2,17.1,,1.2,1.1,2.3,0.145,,-1.0,1.0,0.0,0.4
194,Garrison Mathews\mathega01,SG,24,WAS,64,1038,9.7,0.635,0.835,0.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,,1.7,0.6,2.3,0.108,,-1.7,-0.1,-1.8,0.1
195,Will Barton\bartowi01,SF,30,DEN,56,1736,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,,0.7,1.5,2.2,0.061,,-1.0,-0.8,-1.9,0.1
196,Torrey Craig\craigto01,SF,30,TOT,50,803,14.2,0.579,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,,1.1,1.1,2.2,0.133,,-0.3,0.7,0.4,0.5
197,Buddy Hield\hieldbu01,SG,28,SAC,71,2433,12.8,0.567,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,,1.5,0.7,2.2,0.044,,1.0,-1.6,-0.6,0.9
198,Kenyon Martin Jr.\martike04,SF,20,HOU,45,1068,14.6,0.590,0.302,0.264,7.0,17.6,12.1,6.8,1.3,3.4,9.7,15.6,,1.3,0.9,2.2,0.099,,-1.4,-0.4,-1.8,0.0
199,De'Anthony Melton\meltode01,PG,22,MEM,52,1045,15.2,0.568,0.537,0.130,3.0,13.4,8.2,17.5,2.7,2.7,13.7,19.5,,0.7,1.5,2.2,0.103,,0.6,1.7,2.3,1.1
200,Patty Mills\millspa02,PG,32,SAS,68,1685,11.8,0.570,0.702,0.128,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,,1.3,0.8,2.2,0.062,,0.0,-1.2,-1.2,0.4
201,Kelly Oubre Jr.\oubreke01,SF,25,GSW,55,1687,13.3,0.529,0.394,0.244,5.2,15.4,10.4,6.5,1.6,2.2,8.0,22.1,,0.0,2.2,2.2,0.062,,-1.4,-0.5,-1.9,0.0
202,D.J. Augustin\augusdj01,PG,33,TOT,57,1129,12.1,0.570,0.633,0.274,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,,1.5,0.5,2.1,0.088,,-0.6,-1.5,-2.1,0.0
203,Patrick Beverley\beverpa01,PG,32,LAC,37,832,12.0,0.580,0.641,0.205,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,,1.0,1.0,2.1,0.119,,-0.7,1.4,0.7,0.6
204,Gorgui Dieng\dienggo01,C,31,TOT,38,552,19.2,0.670,0.429,0.411,7.6,19.5,13.5,12.0,2.3,2.6,14.3,17.4,,1.3,0.8,2.1,0.185,,1.8,1.5,3.4,0.7
205,Rui Hachimura\hachiru01,PF,22,WAS,57,1797,11.4,0.549,0.211,0.248,2.9,15.5,9.2,6.3,1.1,0.3,8.6,18.1,,0.7,1.4,2.1,0.056,,-2.2,-1.0,-3.1,-0.5
206,Talen Horton-Tucker\hortota01,SG,20,LAL,65,1304,12.9,0.536,0.268,0.264,2.2,12.3,7.3,20.8,2.4,1.4,16.1,21.7,,-0.1,2.2,2.1,0.078,,-2.6,1.5,-1.2,0.3
207,Cory Joseph\josepco01,PG,29,TOT,63,1446,12.5,0.556,0.310,0.207,2.7,9.7,6.1,21.4,2.0,1.1,14.5,16.3,,1.3,0.8,2.1,0.069,,-1.8,0.0,-1.8,0.1
208,Jeremy Lamb\lambje01,SG,28,IND,36,765,15.8,0.587,0.464,0.272,3.6,14.9,9.3,9.4,2.1,2.4,6.6,18.4,,1.2,0.9,2.1,0.132,,0.7,0.7,1.4,0.7
209,Andre Drummond\drumman01,C,27,TOT,46,1242,19.4,0.519,0.014,0.358,14.8,35.2,24.9,13.2,2.5,3.5,15.8,27.6,,-0.6,2.5,2.0,0.077,,-1.7,0.5,-1.2,0.3
210,James Ennis III\ennisja01,SF,30,ORL,41,986,12.5,0.613,0.428,0.358,4.4,13.4,8.7,9.3,1.6,0.6,11.3,13.9,,1.3,0.7,2.0,0.097,,-1.9,-0.3,-2.2,-0.1
211,Blake Griffin\griffbl01,PF,31,TOT,46,1186,12.9,0.546,0.499,0.285,3.4,17.4,10.5,17.0,1.3,1.1,11.8,19.3,,0.9,1.1,2.0,0.081,,-0.8,0.0,-0.8,0.3
212,Frank Kaminsky\kaminfr01,C,27,PHO,47,715,15.8,0.547,0.331,0.233,5.8,23.7,14.9,15.3,1.0,2.1,7.2,19.0,,1.1,0.9,2.0,0.133,,0.4,0.8,1.3,0.6
213,Furkan Korkmaz\korkmfu01,SG,23,PHI,55,1062,12.8,0.544,0.634,0.193,1.8,9.8,5.9,11.1,2.2,0.8,9.1,20.5,,0.6,1.5,2.0,0.092,,-0.3,0.2,-0.1,0.5
214,Tony Snell\snellto01,SG,29,ATL,47,992,9.5,0.708,0.637,0.064,2.0,10.2,6.2,7.9,0.6,1.0,10.7,8.6,,1.6,0.5,2.0,0.099,,-0.4,-0.1,-0.5,0.4
215,Dean Wade\wadede01,PF,24,CLE,63,1212,11.3,0.573,0.685,0.125,3.4,16.8,9.9,8.9,1.4,1.5,8.4,12.9,,1.1,0.9,2.0,0.080,,-1.1,-0.1,-1.3,0.2
216,Nic Claxton\claxtni01,C,21,BRK,32,594,16.9,0.612,0.034,0.441,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14.0,,1.0,0.9,1.9,0.153,,-1.0,1.4,0.4,0.4
217,Wayne Ellington\ellinwa01,SG,33,DET,46,1012,12.2,0.625,0.814,0.104,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,,1.3,0.5,1.9,0.088,,1.1,-1.3,-0.2,0.5
218,Aaron Gordon\gordoaa01,PF,25,TOT,50,1384,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,,0.7,1.2,1.9,0.066,,0.2,-0.1,0.1,0.7
219,Tyrese Maxey\maxeyty01,SG,20,PHI,61,935,14.5,0.531,0.240,0.163,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23.0,,0.8,1.1,1.9,0.099,,-1.0,-0.5,-1.5,0.1
220,Onyeka Okongwu\okongon01,C,20,ATL,50,601,16.8,0.655,0.020,0.383,11.5,18.0,14.9,4.4,1.9,4.8,14.3,14.7,,1.1,0.8,1.9,0.155,,-2.2,0.8,-1.4,0.1
221,Jordan Poole\poolejo01,SG,21,GSW,51,988,15.1,0.581,0.582,0.251,1.6,8.2,5.0,15.4,1.2,0.8,8.8,25.0,,1.1,0.9,1.9,0.094,,0.7,-1.2,-0.5,0.4
222,Derrick White\whitede01,SG,26,SAS,36,1064,15.0,0.550,0.536,0.252,1.3,9.6,5.4,17.4,1.2,2.9,8.2,22.4,,1.0,0.9,1.9,0.085,,1.3,0.0,1.3,0.9
223,Mo Bamba\bambamo01,C,22,ORL,46,725,19.3,0.556,0.392,0.219,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,,0.7,1.1,1.8,0.117,,0.2,0.0,0.1,0.4
224,Kent Bazemore\bazemke01,SF,31,GSW,67,1333,10.6,0.564,0.469,0.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,,-0.2,2.1,1.8,0.065,,-2.9,1.7,-1.2,0.2
225,Oshae Brissett\brissos01,SF,22,IND,21,519,17.2,0.638,0.517,0.430,6.1,17.9,12.0,4.6,1.7,3.1,5.3,15.6,,1.2,0.6,1.8,0.165,,1.1,-0.5,0.6,0.3
226,Sterling Brown\brownst02,SG,25,HOU,51,1229,11.1,0.597,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,,1.0,0.8,1.8,0.071,,-1.6,0.0,-1.6,0.1
227,Larry Nance Jr.\nancela02,PF,28,CLE,35,1091,13.2,0.557,0.419,0.180,5.4,19.0,12.1,14.4,2.8,1.4,15.8,13.9,,0.5,1.3,1.8,0.080,,-1.4,1.8,0.4,0.7
228,Landry Shamet\shamela01,SG,23,BRK,61,1403,10.3,0.578,0.730,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,,1.2,0.6,1.8,0.063,,-1.0,-1.5,-2.4,-0.2
229,Anfernee Simons\simonan01,SG,21,POR,64,1104,12.3,0.589,0.703,0.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,,1.5,0.3,1.8,0.078,,0.6,-1.6,-1.0,0.3
230,Rudy Gay\gayru01,PF,34,SAS,63,1358,14.7,0.532,0.443,0.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,,0.0,1.7,1.7,0.059,,-0.1,0.0,-0.1,0.6
231,Tyler Herro\herroty01,SG,21,MIA,54,1635,13.3,0.543,0.425,0.167,1.8,16.7,9.4,18.0,1.1,1.1,11.9,23.5,,0.1,1.6,1.7,0.049,,-0.3,-1.0,-1.3,0.3
232,De'Andre Hunter\huntede01,SF,23,ATL,23,678,15.7,0.603,0.383,0.343,2.8,14.7,8.9,9.7,1.4,1.6,9.2,20.2,,1.2,0.6,1.7,0.123,,0.6,0.6,1.2,0.5
233,Andre Iguodala\iguodan01,SF,37,MIA,63,1339,9.2,0.519,0.734,0.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,,-0.1,1.8,1.7,0.062,,-2.2,1.8,-0.4,0.5
234,John Konchar\konchjo01,SG,24,MEM,43,575,14.8,0.608,0.406,0.217,6.4,17.3,11.8,10.7,2.5,1.4,10.6,12.4,,0.9,0.8,1.7,0.145,,-0.2,1.4,1.2,0.5
235,Wesley Matthews\matthwe02,SG,34,LAL,58,1130,7.2,0.517,0.782,0.163,2.0,7.2,4.6,6.3,1.6,1.3,8.8,11.4,,0.2,1.5,1.7,0.073,,-3.1,1.4,-1.7,0.1
236,Dario Šarić\saricda01,C,26,PHO,50,871,14.3,0.567,0.395,0.289,6.1,18.4,12.4,10.4,1.7,0.4,12.9,22.6,,0.7,1.0,1.7,0.093,,-1.4,-0.6,-2.0,0.0
