Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
28,Ivica Zubac\zubaciv01,C,23,LAC,72,1609,19.1,0.693,0.010,0.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,,4.8,2.1,6.9,0.206,,0.6,0.4,1.0,1.2
29,John Collins\collijo01,PF,23,ATL,63,1848,20.6,0.645,0.270,0.265,7.1,20.3,13.8,6.9,0.9,3.0,8.9,22.2,,4.8,1.9,6.7,0.174,,2.5,-0.2,2.3,2.0
30,Jrue Holiday\holidjr01,PG,30,MIL,59,1907,20.0,0.592,0.344,0.165,4.2,10.4,7.4,26.3,2.4,1.7,12.6,22.2,,4.3,2.2,6.6,0.165,,2.8,0.6,3.4,2.6
31,Jayson Tatum\tatumja01,SF,22,BOS,64,2290,21.3,0.576,0.368,0.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,,4.1,2.5,6.5,0.137,,4.2,-0.3,3.9,3.4
32,Jarrett Allen\allenja01,C,22,TOT,63,1864,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,0.166,,1.3,-0.2,1.1,1.4
33,Khris Middleton\middlkh01,SF,29,MIL,68,2269,18.2,0.588,0.340,0.220,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25.0,,4.1,2.2,6.4,0.135,,1.7,-0.3,1.3,1.9
34,Nikola Vučević\vucevni01,C,30,TOT,70,2348,22.9,0.560,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,,3.3,3.0,6.3,0.129,,4.9,0.4,5.3,4.4
35,Donovan Mitchell\mitchdo01,PG,24,UTA,53,1771,21.3,0.569,0.423,0.290,3.1,10.6,7.0,26.7,1.4,0.7,10.7,33.5,,3.9,2.2,6.2,0.167,,4.6,-0.2,4.3,2.8
36,Chris Boucher\bouchch01,C,28,TOR,60,1453,21.9,0.634,0.420,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,,4.0,2.1,6.1,0.201,,2.7,0.6,3.3,2.0
37,Mike Conley\conlemi01,PG,33,UTA,51,1498,19.2,0.589,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,,4.0,2.1,6.1,0.197,,3.6,1.3,4.9,2.6
